"Year","CLUE_Areas","Population_CO2_tonnes","Energy_CO2_tonnes","Trees_CO2_absorbed_tonnes","Total_CO2offset_tonnes"
2020,"Kensington",4507.5579516,32.8427743390094,16.1619466195467,4524.23877931946
2021,"Kensington",4294.886073984,33.9458680834957,16.1619466195467,4312.66999544795
2018,"Kensington",4537.751432544,33.1444574587158,16.1619466195467,4554.73394338317
2019,"Kensington",4585.319199648,33.2678776385832,16.1619466195467,4602.42513066704
2011,"Melbourne (CBD)",9149.383387584,407.599077672161,4.29684407086204,9552.6856211853
2012,"Melbourne (CBD)",10429.76993256,427.150189243202,4.29684407086204,10852.6232777323
2013,"Melbourne (CBD)",12416.891861088,427.548846938392,4.29684407086204,12840.1438639555
2014,"Melbourne (CBD)",14070.027871152,433.015198947365,4.29684407086204,14498.7462260285
2015,"Melbourne (CBD)",15539.914334736,452.157915194754,4.29684407086204,15987.7754058599
2016,"Melbourne (CBD)",16817.672101824,476.530644950917,4.29684407086204,17289.9059027041
2017,"Melbourne (CBD)",18657.203137848,471.062218107992,4.29684407086204,19123.9685118851
2018,"Melbourne (CBD)",19922.845735584,474.782737733529,4.29684407086204,20393.3316292467
2019,"Melbourne (CBD)",20821.391365104,472.481324612678,4.29684407086204,21289.5758456458
2020,"Melbourne (CBD)",21123.274660488,462.637272833,4.29684407086204,21581.6150892501
2021,"Melbourne (CBD)",18313.186027752,474.442615420234,4.29684407086204,18783.3317991014
2013,"Melbourne (Remainder)",37.49598864,40.7528897945763,90.6672410790541,-12.4183626444778
2014,"Melbourne (Remainder)",38.132889696,41.5157205321059,90.6672410790541,-11.0186308509482
2011,"Melbourne (Remainder)",36.62181072,38.3485269618256,90.6672410790541,-15.6969033972285
2012,"Melbourne (Remainder)",36.9964584,40.4603058651349,90.6672410790541,-13.2104768139192
2017,"Melbourne (Remainder)",34.745450256,45.887403490297,90.6672410790541,-10.0343873327571
2018,"Melbourne (Remainder)",34.336459872,46.4871007386892,90.6672410790541,-9.84368046836489
2015,"Melbourne (Remainder)",38.179720656,43.5880785843527,90.6672410790541,-8.89944183870139
2016,"Melbourne (Remainder)",36.490684032,46.1725917919178,90.6672410790541,-8.00396525513628
2021,"Melbourne (Remainder)",33.310861848,47.1141910241713,90.6672410790541,-10.2421882068828
2019,"Melbourne (Remainder)",33.471648144,46.4891214857546,90.6672410790541,-10.7064714492995
